Object_ID,Frames_Observed,Dwell_Time_Seconds
1,20,0.67
2,30,1.0
3,59,1.97
4,54,1.8
5,3,0.1
6,7,0.23
7,51,1.7
8,52,1.73
9,14,0.47
10,290,9.67
11,14,0.47
12,2,0.07
13,1,0.03
14,18,0.6
15,17,0.57
16,70,2.33
18,7,0.23
19,75,2.5
23,59,1.97
24,26,0.87
27,108,3.6
29,3,0.1
33,3,0.1
41,6,0.2
52,3,0.1
53,1,0.03
60,1,0.03
62,32,1.07
64,17,0.57
65,4,0.13
66,61,2.03
71,43,1.43
75,6,0.2
82,79,2.63
88,2,0.07
90,8,0.27
94,1,0.03
100,5,0.17
103,60,2.0
106,231,7.7
107,6,0.2
110,2,0.07
111,38,1.27
113,5,0.17
122,7,0.23
124,2,0.07
127,8,0.27
129,49,1.63
131,23,0.77
135,3,0.1
143,14,0.47
148,133,4.43
152,42,1.4
156,4,0.13
161,19,0.63
162,16,0.53
165,17,0.57
179,1,0.03
184,34,1.13
190,4,0.13
191,2,0.07
192,33,1.1
193,124,4.13
196,2,0.07
197,9,0.3
199,3,0.1
200,2,0.07
202,64,2.13
206,2,0.07
207,6,0.2
214,134,4.47
218,12,0.4
224,3,0.1
228,30,1.0
233,201,6.7
235,8,0.27
238,2,0.07
244,28,0.93
247,1,0.03
260,3,0.1
261,4,0.13
270,25,0.83
272,169,5.63
274,109,3.63
280,3,0.1
282,49,1.63
284,2,0.07
286,2,0.07
293,163,5.43
296,69,2.3
304,15,0.5
305,2,0.07
306,9,0.3
307,12,0.4
309,82,2.73
310,1,0.03
311,72,2.4
312,7,0.23
314,6,0.2
326,4,0.13
329,18,0.6
332,137,4.57
333,13,0.43
334,5,0.17
335,41,1.37
341,5,0.17
344,3,0.1
345,2,0.07
348,114,3.8
353,22,0.73
355,12,0.4
361,10,0.33
362,4,0.13
363,7,0.23
367,88,2.93
371,1,0.03
372,46,1.53
376,6,0.2
377,73,2.43
381,2,0.07
383,6,0.2
384,40,1.33
387,8,0.27
392,15,0.5
394,1,0.03
395,26,0.87
396,12,0.4
400,3,0.1
401,35,1.17
404,29,0.97
412,9,0.3
415,4,0.13
419,8,0.27
423,2,0.07
